Date,,A,B,C
2017/9/28,B,0.0003735011827394342,0.00045865961606258147,0.0003742188282750543
2017/9/28,C,0.00030503165123146533,0.0003742188282750543,0.0003156637676659027
2017/9/29,A,0.0002844474199678237,0.0003382788333287821,0.0002735094215024955
2017/9/29,B,0.0003382788333287821,0.0004085923408830445,0.00032939369697138694
2017/9/29,C,0.0002735094215024955,0.00032939369697138694,0.0002757622075809706
2017/10/2,A,0.0002705791646693073,0.00031928286181146805,0.0002540681703115738
2017/10/2,B,0.00031928286181146805,0.0003828638845342474,0.0003038000522730951
2017/10/2,C,0.0002540681703115738,0.0003038000522730951,0.0002521938378424064
2017/10/3,A,0.00029196423979933623,0.00034697666168139764,0.0002720909486281471
2017/10/3,B,0.00034697666168139764,0.0004187214990789811,0.0003272108685247438
2017/10/3,C,0.0002720909486281471,0.0003272108685247438,0.00026654081517390993
2017/10/4,A,0.0002949927000628309,0.00035121368585737693,0.0002777125508954421
2017/10/4,B,0.00035121368585737693,0.00042425262444691466,0.00033382976064881147
2017/10/4,C,0.0002777125508954421,0.00033382976064881147,0.00027306227077508727
2017/10/5,A,0.00030275765310084214,0.00036047357499370954,0.00028644930939110636
2017/10/5,B,0.00036047357499370954,0.0004349959035357173,0.0003441741546183667
2017/10/5,C,0.00028644930939110636,0.0003441741546183667,0.0002828739699923122
2017/10/6,A,0.0002952109708363806,0.00035032345441162225,0.00027685490215464227
2017/10/6,B,0.00035032345441162225,0.00042134507273019535,0.0003312780787208537
2017/10/6,C,0.00027685490215464227,0.0003312780787208537,0.00027075449285240256
2017/10/9,A,0.0002943469655357978,0.00034319406894994315,0.00027125222610884306
2017/10/9,B,0.00034319406894994315,0.0004057301040632624,0.0003183806923047525
2017/10/9,C,0.00027125222610884306,0.0003183806923047525,0.0002601359214419723
2017/10/10,A,0.00027776892832655014,0.0003208143983770066,0.0002554701485929294
2017/10/10,B,0.0003208143983770066,0.0003764030232561248,0.00029781873247807005
2017/10/10,C,0.0002554701485929294,0.00029781873247807005,0.00024573601622155766
2017/10/11,A,0.0002863806618673742,0.00032802921097490776,0.00025953119227161125
2017/10/11,B,0.00032802921097490776,0.00038173410690799694,0.0003009854685596274
2017/10/11,C,0.00025953119227161125,0.0003009854685596274,0.0002475733065723148
2017/10/12,A,0.0003008632528335772,0.00034893816246578326,0.0002801487463894546
2017/10/12,B,0.00034893816246578326,0.0004115170077198794,0.0003303517120088377
2017/10/12,C,0.0002801487463894546,0.0003303517120088377,0.000276528715290292
